customer_id,days_since_last_purchase,purchase_frequency,cumulative_spending,annual_income,days_since_signup,PCA1,PCA2,Cluster,Segment
CUST00001,385.0,4.0,8500.0,265136.0,1544.0,-0.9318598691648763,-0.03855685605803011,0,Occasional Shoppers
CUST00002,304.0,8.0,156200.0,7914775.0,1695.0,0.2184755765477235,2.122234564846854,2,Big Spenders
CUST00003,288.0,3.0,6100.0,265136.0,1034.0,-0.8743492284960672,-0.794278477423192,0,Occasional Shoppers
CUST00004,81.0,2.0,48500.0,931315.0,824.0,-0.5537619368199667,-1.1851654203233573,0,Occasional Shoppers
CUST00005,17.0,9.0,100950.0,265136.0,1622.0,0.2678766134805034,-0.48230943118483055,0,Occasional Shoppers
CUST00006,22.0,6.0,323500.0,931315.0,818.0,0.35907193233983953,-1.171672546353373,0,Occasional Shoppers
CUST00007,45.0,8.0,458400.0,265136.0,1267.0,0.684238172220317,-0.7334988033981901,0,Occasional Shoppers
CUST00008,114.0,3.0,357000.0,3850887.0,1527.0,0.10538584589725608,0.5762562600717122,2,Big Spenders
CUST00009,136.0,9.0,258300.0,265136.0,1422.0,0.3342685789186494,-0.4693949895395082,0,Occasional Shoppers
CUST00010,346.0,9.0,226800.0,931315.0,1857.0,-0.00996389487590282,0.5422192889528101,0,Occasional Shoppers
CUST00011,649.0,6.0,232500.0,265136.0,1805.0,-0.7957713085859779,0.7778240749143143,3,At-Risk Customers
CUST00012,1092.0,3.0,85500.0,265136.0,1575.0,-1.9890369197130642,1.1579582073104233,3,At-Risk Customers
CUST00013,176.0,2.0,49000.0,3850887.0,918.0,-0.5457584068442956,-0.14257659654551044,2,Big Spenders
CUST00014,814.0,4.0,50230.0,265136.0,1142.0,-1.5088544387946017,0.19968316265516733,3,At-Risk Customers
CUST00015,54.0,5.0,70500.0,265136.0,430.0,-0.2031289849687924,-1.8410522915091647,0,Occasional Shoppers
CUST00016,107.0,6.0,225830.0,265136.0,1090.0,0.037200258192067064,-0.9296298183229157,0,Occasional Shoppers
CUST00017,152.0,6.0,383000.0,931315.0,1070.0,0.24608148768707178,-0.648754726509452,0,Occasional Shoppers
CUST00018,83.0,33.0,1491200.0,265136.0,1871.0,4.699559752267153,0.5184692773427494,1,Loyal Customers
CUST00019,591.0,4.0,108020.0,931315.0,1104.0,-1.0448804278087815,-0.006278136444047243,3,At-Risk Customers
CUST00020,141.0,15.0,627300.0,931315.0,1967.0,1.514683273010331,0.5089683346451263,0,Occasional Shoppers
CUST00021,208.0,6.0,70900.0,265136.0,1970.0,-0.37832765388431977,0.20371831384436734,0,Occasional Shoppers
CUST00022,535.0,4.0,109100.0,931315.0,1846.0,-0.9782599132962081,0.7667416708987156,3,At-Risk Customers
CUST00023,14.0,26.0,1142480.0,265136.0,1648.0,3.5739355844269287,-0.009127840634952906,1,Loyal Customers
CUST00024,794.0,2.0,9400.0,265136.0,1234.0,-1.7438807147686406,0.24963498372859652,3,At-Risk Customers
CUST00025,5.0,29.0,1906900.0,931315.0,1093.0,5.112967227019186,-0.21397735897455142,1,Loyal Customers
CUST00026,436.0,6.0,326600.0,265136.0,1046.0,-0.3067876907755941,-0.4160958923902627,0,Occasional Shoppers
CUST00027,298.0,4.0,107000.0,931315.0,2069.0,-0.62732198875762,0.6433414497209563,0,Occasional Shoppers
CUST00028,65.0,2.0,17400.0,3850887.0,72.0,-0.402632083103139,-1.3161484515832902,2,Big Spenders
CUST00029,332.0,6.0,534060.0,7914775.0,2456.0,0.5358036247219962,3.1704406652027415,2,Big Spenders
CUST00030,315.0,7.0,267700.0,931315.0,2288.0,-0.11186882509769638,0.9965713673093675,0,Occasional Shoppers
CUST00031,70.0,3.0,188000.0,265136.0,1998.0,-0.2896290900265294,0.037485507076133684,0,Occasional Shoppers
CUST00032,53.0,3.0,90500.0,265136.0,241.0,-0.3659115407437402,-2.0665110868805265,0,Occasional Shoppers
CUST00033,885.0,3.0,138500.0,265136.0,1765.0,-1.5981174330866024,1.0633382216965903,3,At-Risk Customers
CUST00034,847.0,6.0,51700.0,931315.0,2592.0,-1.3607848365100708,2.128516219021885,3,At-Risk Customers
CUST00035,673.0,2.0,22100.0,265136.0,2176.0,-1.5660388551115114,1.154437606425624,3,At-Risk Customers
CUST00036,814.0,3.0,24400.0,265136.0,2576.0,-1.6875920228823995,1.8531235315125902,3,At-Risk Customers
CUST00037,506.0,4.0,77900.0,3850887.0,2486.0,-0.8453362181142934,2.2336143589910358,3,At-Risk Customers
CUST00038,96.0,5.0,293700.0,265136.0,1693.0,0.04176191287673786,-0.2283718870898797,0,Occasional Shoppers
CUST00040,968.0,3.0,79000.0,931315.0,1441.0,-1.7717351335051352,0.977996105354787,3,At-Risk Customers
CUST00041,55.0,6.0,92000.0,265136.0,1406.0,-0.09803001567573717,-0.6916168647932318,0,Occasional Shoppers
CUST00042,412.0,2.0,201000.0,7914775.0,1145.0,-0.4624066678478352,1.6393650680822787,2,Big Spenders
CUST00043,483.0,5.0,19650.0,265136.0,1458.0,-0.9612531741204491,0.02863617699523484,3,At-Risk Customers
CUST00044,87.0,3.0,28800.0,931315.0,95.0,-0.47326905260912105,-2.0245803733007723,0,Occasional Shoppers
CUST00045,278.0,1.0,400.0,265136.0,579.0,-1.055725196890921,-1.3523617552352496,0,Occasional Shoppers
CUST00046,0.0,4.0,13400.0,931315.0,1455.0,-0.3015586964722988,-0.5830063602756432,0,Occasional Shoppers
CUST00047,951.0,1.0,27000.0,931315.0,1665.0,-2.032073902582864,1.1824835418492254,3,At-Risk Customers
CUST00048,39.0,22.0,889900.0,931315.0,2245.0,2.766363554102164,0.7955057872685292,1,Loyal Customers
CUST00049,113.0,2.0,3500.0,931315.0,1088.0,-0.6787311175295904,-0.8419160759075058,0,Occasional Shoppers
CUST00050,373.0,3.0,4130.0,265136.0,430.0,-0.9901640400255237,-1.3603674262293526,0,Occasional Shoppers
CUST00051,726.0,1.0,32000.0,931315.0,1597.0,-1.6805585795503308,0.7424266101016983,3,At-Risk Customers
CUST00052,409.0,1.0,3500.0,931315.0,2407.0,-1.2645454573287658,1.1637245160598595,3,At-Risk Customers
CUST00053,146.0,7.0,559360.0,3850887.0,1280.0,0.7748125265969591,0.43137425025969794,2,Big Spenders
CUST00054,190.0,4.0,151000.0,265136.0,1449.0,-0.41388569165596034,-0.414740336816717,0,Occasional Shoppers
CUST00055,27.0,25.0,540200.0,265136.0,2166.0,2.5143766668840124,0.4033045382849375,1,Loyal Customers
CUST00056,150.0,4.0,19500.0,931315.0,2109.0,-0.5379376772731772,0.42144057673891827,0,Occasional Shoppers
CUST00057,93.0,4.0,136400.0,931315.0,2385.0,-0.27913571056270525,0.6904261828043272,0,Occasional Shoppers
CUST00058,551.0,3.0,148000.0,265136.0,2150.0,-1.0863190046551539,0.9759400259183035,3,At-Risk Customers
CUST00059,408.0,6.0,218040.0,7914775.0,2315.0,-0.061570868791435834,3.0211404375573867,2,Big Spenders
CUST00060,40.0,3.0,157500.0,265136.0,2226.0,-0.29709987137791793,0.24387678086151518,0,Occasional Shoppers
CUST00061,331.0,3.0,33000.0,265136.0,337.0,-0.8794306741761746,-1.5263729053208233,0,Occasional Shoppers
CUST00062,7.0,25.0,820100.0,265136.0,918.0,3.008852546903422,-0.9848081139810942,1,Loyal Customers
CUST00063,377.0,4.0,206000.0,265136.0,1829.0,-0.6239049699462877,0.3473806470450749,0,Occasional Shoppers
CUST00064,232.0,4.0,295500.0,931315.0,1748.0,-0.22858230000819424,0.2279611721892051,0,Occasional Shoppers
CUST00065,422.0,3.0,7000.0,931315.0,1333.0,-1.0495775224423665,-0.05227783526673042,0,Occasional Shoppers
CUST00066,1.0,26.0,1307200.0,931315.0,1264.0,3.8924636848575416,-0.2424864642213797,1,Loyal Customers
CUST00067,43.0,4.0,15000.0,931315.0,1056.0,-0.3536183334908183,-0.9771702864548769,0,Occasional Shoppers
CUST00068,266.0,6.0,216000.0,931315.0,2364.0,-0.21900149520231815,0.9828967327319732,0,Occasional Shoppers
CUST00069,262.0,5.0,124200.0,3850887.0,2326.0,-0.29888225200119983,1.6754657012106342,2,Big Spenders
CUST00070,1042.0,3.0,131500.0,931315.0,1620.0,-1.8083849721450784,1.323361776983931,3,At-Risk Customers
CUST00071,212.0,2.0,11000.0,265136.0,680.0,-0.8417752231859852,-1.3322367605203254,0,Occasional Shoppers
CUST00072,87.0,4.0,26300.0,931315.0,93.0,-0.3769698136457221,-2.02232383225025,0,Occasional Shoppers
CUST00073,465.0,2.0,52000.0,931315.0,1781.0,-1.1580304498242582,0.5479609545047822,3,At-Risk Customers
CUST00074,272.0,6.0,402270.0,931315.0,413.0,0.11115255287638168,-1.212816376071556,0,Occasional Shoppers
CUST00075,149.0,6.0,109500.0,265136.0,1824.0,-0.22536185145169144,-0.04800687278556155,0,Occasional Shoppers
CUST00076,131.0,4.0,66000.0,265136.0,1434.0,-0.45443871142773457,-0.5562904990971315,0,Occasional Shoppers
CUST00077,237.0,7.0,272290.0,3850887.0,2018.0,0.17525559580194042,1.3383753721650031,2,Big Spenders
CUST00078,86.0,1.0,9600.0,7914775.0,354.0,-0.3396731022416962,0.12323357399494379,2,Big Spenders
CUST00079,138.0,21.0,761900.0,931315.0,1209.0,2.3472221459611604,-0.2988541865410761,1,Loyal Customers
CUST00081,472.0,3.0,88400.0,931315.0,1719.0,-1.010955622712584,0.5049960698258973,3,At-Risk Customers
CUST00082,237.0,4.0,100500.0,931315.0,2142.0,-0.5465791604885782,0.6276929433652564,0,Occasional Shoppers
CUST00083,151.0,4.0,49700.0,931315.0,2480.0,-0.5031209716842698,0.8648162840825759,0,Occasional Shoppers
CUST00084,425.0,3.0,146800.0,7914775.0,1581.0,-0.47722163162771264,2.1543140293939222,2,Big Spenders
CUST00085,196.0,3.0,119200.0,7914775.0,205.0,-0.13419962601049767,0.1755302262269119,2,Big Spenders
CUST00086,399.0,6.0,672000.0,3850887.0,730.0,0.4782395967474645,0.23255769830378095,2,Big Spenders
CUST00087,244.0,2.0,28500.0,265136.0,402.0,-0.855965779189745,-1.5979880466074106,0,Occasional Shoppers
CUST00088,65.0,6.0,229500.0,3850887.0,720.0,0.3060903633715566,-0.46843641128408203,2,Big Spenders
CUST00089,7.0,7.0,96050.0,931315.0,769.0,0.13372189688651642,-1.325008498614446,0,Occasional Shoppers
CUST00090,323.0,8.0,161200.0,265136.0,1268.0,-0.19509452849783618,-0.3856293836017463,0,Occasional Shoppers
CUST00091,1110.0,2.0,122000.0,931315.0,1111.0,-2.012601525606277,0.832346960862436,3,At-Risk Customers
CUST00092,56.0,6.0,49200.0,931315.0,66.0,-0.09374940566289805,-2.08500868204686,0,Occasional Shoppers
CUST00093,80.0,6.0,270500.0,7914775.0,1231.0,0.5470361826283507,1.2496790541849145,2,Big Spenders
CUST00094,741.0,1.0,500.0,931315.0,962.0,-1.7345209413458806,0.017375732329415007,3,At-Risk Customers
CUST00095,31.0,3.0,28400.0,265136.0,794.0,-0.44293579612175676,-1.480043566514528,0,Occasional Shoppers
CUST00096,251.0,4.0,17100.0,265136.0,260.0,-0.6800943759512956,-1.7448641853506814,0,Occasional Shoppers
CUST00097,41.0,3.0,24800.0,265136.0,1473.0,-0.4821118858435064,-0.6755007241429783,0,Occasional Shoppers
CUST00098,493.0,4.0,42070.0,265136.0,1421.0,-1.0410773364050003,0.003940086121194933,3,At-Risk Customers
CUST00099,129.0,5.0,222350.0,265136.0,1401.0,-0.11012153809267092,-0.5391089600775093,0,Occasional Shoppers
CUST00100,12.0,8.0,82030.0,931315.0,2402.0,0.16030420160293504,0.5828217548581767,0,Occasional Shoppers
CUST00101,76.0,6.0,156500.0,931315.0,2143.0,-0.015657457493557455,0.39931571380120695,0,Occasional Shoppers
CUST00102,819.0,2.0,45500.0,931315.0,2518.0,-1.7260941379637462,1.9734658295469394,3,At-Risk Customers
CUST00103,1017.0,2.0,3800.0,931315.0,1284.0,-2.0576086984752324,0.8433006157425886,3,At-Risk Customers
CUST00104,195.0,4.0,179800.0,931315.0,205.0,-0.30825069322906723,-1.6656096133365563,0,Occasional Shoppers
CUST00105,398.0,6.0,137400.0,931315.0,964.0,-0.5024031776472216,-0.45929746475052424,0,Occasional Shoppers
CUST00106,163.0,8.0,245600.0,265136.0,2136.0,0.15423008624964202,0.39471369876971535,0,Occasional Shoppers
CUST00107,37.0,10.0,219870.0,931315.0,1662.0,0.554427088957765,-0.179570162386442,0,Occasional Shoppers
CUST00108,111.0,8.0,110300.0,931315.0,226.0,0.11238710380278727,-1.7785603995421413,0,Occasional Shoppers
CUST00109,996.0,4.0,235410.0,265136.0,1441.0,-1.5090006501662452,0.9039628342218329,3,At-Risk Customers
CUST00110,527.0,6.0,136060.0,265136.0,2270.0,-0.7711894395086167,1.0890420305662498,3,At-Risk Customers
CUST00111,79.0,9.0,426520.0,931315.0,469.0,0.740508640178806,-1.4342098242071981,0,Occasional Shoppers
CUST00112,343.0,5.0,353300.0,265136.0,2119.0,-0.25363282047689995,0.6855300130291627,0,Occasional Shoppers
CUST00113,64.0,6.0,550680.0,3850887.0,2455.0,0.7541021213625189,1.6572816008685682,2,Big Spenders
